"Dataset","Model","Training","Mean","Error","text","datag"
"Stability","ESM2 8M","Finetuning (random init)",0.68431349250013,0.0269031337949971,"0.684 ± 0.03","diverse dataset"
"GFP","ESM2 8M","Finetuning (random init)",0.689447598965204,0.000200869059981162,"0.689 ± 0.0002","mutational landscape"
"AAV","ESM2 8M","Finetuning (random init)",0.708340844047221,0.00860894800874947,"0.708 ± 0.009","mutational landscape"
"GB1","ESM2 8M","Finetuning (random init)",0.857168877565864,0.00843021149369517,"0.857 ± 0.008","mutational landscape"
"Meltome","ESM2 8M","Finetuning (random init)",0.527185941255646,0.00539405672636935,"0.527 ± 0.005","diverse dataset"
"Subcellular
location","ESM2 8M","Finetuning (random init)",0.469931972789116,0.00218276073916599,"0.470 ± 0.002","diverse dataset"
"Disorder","ESM2 8M","Finetuning (random init)",0.649416406873852,0.018594455308505,"0.649 ± 0.02","diverse dataset"
"Secondary
strucure","ESM2 8M","Finetuning (random init)",0.708265249817554,0.000178797102223163,"0.708 ± 0.0002","diverse dataset"
"Stability","ESM2 150M","Finetuning (random init)",0.674934346999242,0.0585603847223384,"0.675 ± 0.06","diverse dataset"
"GFP","ESM2 150M","Finetuning (random init)",0.68994591269659,0.000343093112308803,"0.690 ± 0.0003","mutational landscape"
"AAV","ESM2 150M","Finetuning (random init)",0.704254940223724,0.0384062597987577,"0.704 ± 0.04","mutational landscape"
"GB1","ESM2 150M","Finetuning (random init)",0.870409579524763,0.00946013204699257,"0.870 ± 0.009","mutational landscape"
"Meltome","ESM2 150M","Finetuning (random init)",0.512687344663122,0.00129693554941595,"0.513 ± 0.001","diverse dataset"
"Subcellular
location","ESM2 150M","Finetuning (random init)",0.459081632653061,0.000999999999999958,"0.459 ± 0.001","diverse dataset"
"Disorder","ESM2 150M","Finetuning (random init)",0.635269355952126,0.00427134346176554,"0.635 ± 0.004","diverse dataset"
"Secondary
strucure","ESM2 150M","Finetuning (random init)",0.708412986596892,0.00113111046814449,"0.708 ± 0.001","diverse dataset"
